impact_rank,node_name,tier_name,region_id,produces,failed_oems,failed_firms,deepest_cascade,production_value_at_risk,share_of_oem_value,cumulative_share_overlapping,best_centrality_rank,centrality_rank_gap,blockade_share_of_oem_value
1,Kestrel Electronics - Batangas,EMS,Southeast Asia,Power module,26,26,1,43626955663.28365,0.0342001080490014,0.0342001080490014,25,24,0.0342001080490014
2,Jarn Manufacturing - Xi'an,EMS,China,Sensor module,28,28,1,40275069602.96116,0.0315724925372583,0.0657726005862597,14,12,0.0315724925372583
3,Ember Assembly - Xi'an,OSAT,China,Analog IC,27,38,2,35970436128.12747,0.0281979978535836,0.0939705984398433,18,15,0.0281979978535836
4,Thorne Chemical - Nagano 2,REFINED_MATERIAL,Japan,Packaging substrate,17,25,3,30595920167.06472,0.023984799298129,0.1179553977379723,284,280,0.023984799298129
5,Noral Extraction - Dalian,RAW_MATERIAL,China,Substrate resin,18,42,3,24914865489.535973,0.0195312984555918,0.1374866961935641,34,29,0.0195312984555918
6,Granth Specialty - Bangkok,REFINED_MATERIAL,Southeast Asia,Bonding wire,14,19,3,23374487601.38156,0.018323763127714,0.1558104593212781,175,169,0.018323763127714
7,Quarn Assembly - Penang,OSAT,Southeast Asia,Power IC,14,16,2,23374487601.38156,0.018323763127714,0.1741342224489921,54,47,0.018323763127714
8,Ader Assemblies - Penang,EMS,Southeast Asia,Power module,14,14,1,23374487601.38156,0.018323763127714,0.1924579855767061,30,22,0.018323763127714
9,Quill Feedstock - Tianjin,RAW_MATERIAL,China,Gold,15,25,4,18072951512.328262,0.0141677750622003,0.2066257606389064,69,60,0.0141677750622003
10,Isar Materials - Icheon,REFINED_MATERIAL,Korea,Bonding wire,15,24,3,18072951512.328262,0.0141677750622003,0.22079353570110669,494,484,0.0141677750622003
11,Yarrow Packaging - Taichung,OSAT,Taiwan,Power IC,15,23,2,18072951512.328262,0.0141677750622003,0.23496131076330698,21,10,0.0141677750622003
12,Cortex Materials - Leixlip,REFINED_MATERIAL,Europe,Packaging substrate,17,29,3,17253605393.53459,0.0135254720326571,0.2484867827959641,475,463,0.0135254720326571
13,Doran Assembly - Batam,OSAT,Southeast Asia,Memory IC,17,28,2,17253605393.53459,0.0135254720326571,0.26201225482862117,35,22,0.0135254720326571
14,Korrin Chemical - Hiroshima,REFINED_MATERIAL,Japan,Bonding wire,13,17,3,16845114631.532717,0.0132052473462199,0.2752175021748411,304,290,0.0132052473462199
15,Halcy Specialty - Sendai,REFINED_MATERIAL,Japan,Packaging substrate,13,17,3,16845114631.532717,0.0132052473462199,0.288422749521061,638,623,0.0132052473462199
16,Prendel Packaging - Chengdu,OSAT,China,Analog IC,13,16,2,16845114631.532717,0.0132052473462199,0.30162799686728087,52,36,0.0132052473462199
17,Wexler Electronics - Taoyuan,EMS,Taiwan,Power module,13,13,1,16845114631.532717,0.0132052473462199,0.3148332442135008,40,23,0.0132052473462199
18,Holt Precision - Austin,EQUIPMENT,North America,Test handler,22,54,3,16742388769.802158,0.0131247183357218,0.3279579625492226,76,58,0.0131247183357218
19,Prendel Assembly - Shenzhen,OSAT,China,Logic IC,22,52,2,16742388769.802158,0.0131247183357218,0.34108268088494437,15,-4,0.0131247183357218
20,Elstow Minerals - Shenzhen,RAW_MATERIAL,China,Bulk chemical,20,121,5,15356341365.281252,0.0120381659903894,0.3531208468753338,111,91,0.0120381659903894
21,Vantor Systems - Shenzhen,EQUIPMENT,China,Lithography system,20,119,4,15356341365.281252,0.0120381659903894,0.36515901286572316,49,28,0.0120381659903894
22,Ember Materials - Kaohsiung,REFINED_MATERIAL,Taiwan,Packaging substrate,12,18,3,14014758015.225212,0.0109864699728451,0.3761454828385683,175,153,0.0109864699728451
23,Isar Specialty - Gumi,REFINED_MATERIAL,Korea,PCB laminate,8,22,2,13389927813.56653,0.0104966521507184,0.3866421349892867,17,-6,0.0104966521507184
24,Doran Resources - Wuxi,RAW_MATERIAL,China,Crude industrial gas,12,14,3,13130365162.865343,0.0102931754110628,0.3969353104003495,628,604,0.0102931754110628
25,Brant Chemical - Nagano,REFINED_MATERIAL,Japan,Process gas,12,13,2,13130365162.865343,0.0102931754110628,0.4072284858114123,174,149,0.0102931754110628
26,Lumen Assemblies - Chengdu,EMS,China,PCB assembly,12,12,1,13130365162.865343,0.0102931754110628,0.4175216612224751,21,-5,0.0102931754110628
27,Gethin Microassembly - Taichung,OSAT,Taiwan,Analog IC,11,14,2,12651927509.270094,0.0099181178532089,0.427439779075684,193,166,0.0099181178532089
28,Prendel Manufacturing - Villach,EMS,Europe,PCB assembly,10,10,1,11866054732.80361,0.0093020552960284,0.4367418343717124,20,-8,0.0093020552960284
29,Korrin Extraction - Crolles,RAW_MATERIAL,Europe,Substrate resin,8,12,3,11765414517.809843,0.0092231612688259,0.44596499564053826,234,205,0.0092231612688259
30,Lethe Advanced Materials - Singapore,REFINED_MATERIAL,Southeast Asia,PCB laminate,8,11,2,11765414517.809843,0.0092231612688259,0.4551881569093642,65,35,0.0092231612688259
