tier_name,rank_in_tier,node_name,region_id,produces,customers,sole_source_lines,annual_value_usd,share_of_tier,cumulative_share_of_tier,suppliers_in_tier
RAW_MATERIAL,1,Granth Resources - Shenzhen,China,Copper,141,4,1547788242.3278766,0.13155283656229294,0.13155283656229294,397
RAW_MATERIAL,2,Cortex Extraction - Hyderabad,South Asia,Copper,53,1,532912003.2368063,0.0452943650472858,0.17684720160957873,397
RAW_MATERIAL,3,Noral Extraction - Dalian,China,Substrate resin,39,5,405310025.14692205,0.03444895240644739,0.21129615401602614,397
RAW_MATERIAL,4,Wexler Resources - Kumamoto,Japan,Bulk chemical,31,1,399797162.12664825,0.03398039168989508,0.2452765457059212,397
RAW_MATERIAL,5,Palter Resources - Wuxi,China,Substrate resin,50,1,352470279.5517485,0.02995788688070056,0.2752344325866218,397
REFINED_MATERIAL,1,Isar Specialty - Gumi,Korea,PCB laminate,145,14,17809674572.637215,0.10724774858581906,0.10724774858581906,296
REFINED_MATERIAL,2,Alder Materials - Yokkaichi,Japan,PCB laminate,128,6,13562770315.16612,0.08167339470216697,0.18892114328798604,296
REFINED_MATERIAL,3,Jarn Specialty - Nagano,Japan,PCB laminate,104,3,10088863791.462748,0.060753941517031826,0.24967508480501785,296
REFINED_MATERIAL,4,Kestrel Advanced Materials - Kaohsiung,Taiwan,Packaging substrate,78,14,8560355116.16041,0.0515494435094192,0.301224528314437,296
REFINED_MATERIAL,5,Yarrow Materials - Taichung,Taiwan,PCB laminate,85,3,8271948709.9580765,0.04981269432757565,0.3510372226420127,296
EQUIPMENT,1,Vantor Systems - Shenzhen,China,Lithography system,65,38,23759801495.77918,0.15790989364293878,0.15790989364293878,121
EQUIPMENT,2,Kestrel Technologies - Yokkaichi,Japan,Test handler,87,8,9158448648.022331,0.06086791811793695,0.21877781176087574,121
EQUIPMENT,3,Thorne Systems - Nagano,Japan,Deposition system,42,5,8808076034.816067,0.05853930850827214,0.2773171202691479,121
EQUIPMENT,4,Thorne Systems - Taichung,Taiwan,Metrology system,47,8,8601286191.618494,0.057164963602588915,0.3344820838717368,121
EQUIPMENT,5,Solvex Technologies - Pyeongtaek,Korea,Metrology system,55,5,8577174107.379727,0.05700471240443267,0.3914867962761695,121
FAB,1,Ferrin Semiconductor - Gumi,Korea,Memory die,17,2,15601209376.194525,0.11517300129241975,0.11517300129241975,79
FAB,2,Mordant Microelectronics - Hsinchu,Taiwan,Logic die,15,0,11019536859.085215,0.08134966349787318,0.19652266479029293,79
FAB,3,Belan Wafer Works - Gumi,Korea,Analog die,27,2,8489268356.456943,0.06267043097837101,0.2591930957686639,79
FAB,4,Korrin Semiconductor - Kaohsiung,Taiwan,Power die,14,1,6258960636.611055,0.0462056026624164,0.30539869843108036,79
FAB,5,Korrin Microelectronics - Taoyuan,Taiwan,Power die,16,1,5577685051.852824,0.041176213471371965,0.3465749119024523,79
OSAT,1,Prendel Assembly - Shenzhen,China,Logic IC,229,30,316054720626.1203,0.18803749072852155,0.18803749072852155,158
OSAT,2,Stade Test Services - Batangas,Southeast Asia,Logic IC,117,8,99069923557.02641,0.058941881315441154,0.24697937204396272,158
OSAT,3,Yarrow Packaging - Malta,North America,Logic IC,86,7,83302306779.65211,0.04956090106077899,0.2965402731047417,158
OSAT,4,Isar Assembly - Wuxi,China,Memory IC,133,11,81445314423.6233,0.04845607914184688,0.3449963522465886,158
OSAT,5,Solvex Assembly - Kaohsiung,Taiwan,Analog IC,117,2,55646678091.99387,0.03310712048555162,0.3781034727321402,158
EMS,1,Lumen Assemblies - Chengdu,China,PCB assembly,122,12,108559964928.3697,0.08510248936463609,0.08510248936463609,442
EMS,2,Prendel Manufacturing - Villach,Europe,PCB assembly,84,10,74260397817.39482,0.0582143216390904,0.14331681100372648,442
EMS,3,Kestrel Electronics - Batangas,Southeast Asia,Power module,206,26,52565659228.74325,0.0412073498587707,0.18452416086249718,442
EMS,4,Ader Assemblies - Penang,Southeast Asia,Power module,152,14,40748784863.74479,0.03194384810990711,0.21646800897240429,442
EMS,5,Solvex Electronics - Dresden,Europe,PCB assembly,59,9,37595510305.97029,0.029471928422996323,0.2459399373954006,442
