input,supplied_by_tier,configured_difficulty,bom_lines,sole_sourced_lines,observed_single_source_rate,qualified_suppliers,annual_value_usd,value_on_sole_source,worst_lead_time_days
Lithography system,EQUIPMENT,0.62,84,56,0.6666666666666666,6,37369048803.9693,17998174206.634655,562
Photoresist,REFINED_MATERIAL,0.38,85,41,0.4823529411764706,25,2587472162.7132206,811605288.0848757,128
Ion implantation system,EQUIPMENT,0.35,56,23,0.4107142857142857,15,7979401182.03988,1466670098.2435427,577
Rare earth elements,RAW_MATERIAL,0.35,78,31,0.3974358974358974,45,302227603.16618896,47708577.22567965,128
CMP slurry,REFINED_MATERIAL,0.32,57,22,0.38596491228070173,22,1305955775.6799798,259355961.9178697,132
Packaging substrate,REFINED_MATERIAL,0.28,162,56,0.345679012345679,57,24702711169.468117,3936212281.7097883,115
Memory die,FAB,0.2,25,7,0.28,15,35954680834.25482,3665958442.2974505,155
Metrology system,EQUIPMENT,0.3,109,30,0.27522935779816515,19,29579359448.744095,3539299343.2831454,567
Silicon wafer,REFINED_MATERIAL,0.3,95,26,0.2736842105263158,44,10630366369.068161,1516473098.7959838,130
Silicon feedstock,RAW_MATERIAL,0.25,63,16,0.25396825396825395,40,463522352.6764273,36313751.8893842,102
Power IC,OSAT,0.2,318,75,0.2358490566037736,41,259261157129.64902,19519009155.761005,84
Etch system,EQUIPMENT,0.25,77,18,0.23376623376623376,21,24651844955.045006,2980722663.8179016,575
Memory IC,OSAT,0.2,266,59,0.22180451127819548,24,277611183917.4269,27675313092.4023,85
Deposition system,EQUIPMENT,0.25,82,18,0.21951219512195122,29,24927185810.174633,2707993939.360734,580
Test handler,EQUIPMENT,0.22,143,31,0.21678321678321677,31,25957459076.322876,2240343172.276691,397
RF IC,OSAT,0.2,167,36,0.2155688622754491,17,135537606773.9391,11375933846.494688,84
Logic IC,OSAT,0.2,307,66,0.21498371335504887,27,683041982656.4535,56984122149.685165,85
Logic die,FAB,0.2,28,6,0.21428571428571427,12,27329903371.756294,1675470825.3027995,148
PCB assembly,EMS,0.2,820,173,0.21097560975609755,280,949006694738.1925,77372401938.46149,79
Power module,EMS,0.2,582,118,0.2027491408934708,95,248454978134.38956,20282518347.680443,80
Analog IC,OSAT,0.2,336,67,0.19940476190476192,37,295961553806.3005,27108794651.940052,84
MEMS sensor,OSAT,0.2,73,14,0.1917808219178082,12,29393462254.478466,1771384092.5158596,84
Sensor module,EMS,0.2,449,86,0.1915367483296214,67,78176275427.92041,6578342032.276085,79
Crude industrial gas,RAW_MATERIAL,0.15,56,10,0.17857142857142858,50,538130539.5911942,49598944.635596976,101
Process gas,REFINED_MATERIAL,0.22,283,50,0.17667844522968199,50,7368441993.468206,708815113.9224111,130
Power die,FAB,0.2,41,7,0.17073170731707318,16,25885780425.448654,2562680423.4202104,143
PCB laminate,REFINED_MATERIAL,0.14,520,72,0.13846153846153847,62,102786704238.07063,5806256485.988156,109
Bonding wire,REFINED_MATERIAL,0.2,138,19,0.13768115942028986,36,16679406052.441313,736507063.7632464,113
Analog die,FAB,0.2,47,6,0.1276595744680851,20,33943070066.618145,2236552813.2492657,141
Substrate resin,RAW_MATERIAL,0.12,154,18,0.11688311688311688,57,2433885625.316296,86014504.50782366,102
Bulk chemical,RAW_MATERIAL,0.1,150,15,0.1,103,3325823745.6405554,134254147.22255546,130
Gold,RAW_MATERIAL,0.1,45,4,0.08888888888888889,18,178770251.98023453,8147801.03941917,104
Copper,RAW_MATERIAL,0.08,253,17,0.06719367588932806,84,4523165299.205086,128256739.76448855,130
