buyer,tier_name,region_id,produces,distinct_inputs,sole_sourced_inputs,sole_sourced_input_rate,total_spend_usd,sole_source_spend_usd,sole_source_share_of_spend,worst_lead_time_days
Halcy Foundry - Guadalajara,FAB,North America,Power die,7,6,0.8571428571428571,871252890.4051116,609298742.0221773,0.6993362647426835,509
Isar Microelectronics - Kaohsiung,FAB,Taiwan,Analog die,9,6,0.6666666666666666,1044146994.6397657,607856505.8544056,0.5821560651660145,514
Isar Semiconductor - Kaohsiung,FAB,Taiwan,Logic die,9,6,0.6666666666666666,1110256939.156518,505859568.83007765,0.45562387496932755,551
Mervi Semiconductor - Kaohsiung,FAB,Taiwan,MEMS die,8,6,0.75,671541937.7661586,278249204.28387606,0.4143437492667313,525
Jarn Semiconductor - Chengdu,FAB,China,Logic die,9,5,0.5555555555555556,1440174533.9053752,869506385.9330795,0.60375070205915,471
Mordant Microelectronics - Hsinchu,FAB,Taiwan,Logic die,8,5,0.625,2369739311.6570196,1045590931.2370381,0.44122614082218087,580
Faryn Microelectronics - Kumamoto,FAB,Japan,Logic die,9,5,0.5555555555555556,1190306002.648549,511423006.29174286,0.42965674805787407,546
Lumen Foundry - Hsinchu,FAB,Taiwan,Memory die,8,5,0.625,392016960.9590474,131306629.82489538,0.33495139981612304,512
Umber Semiconductor - Kaohsiung,FAB,Taiwan,Analog die,8,5,0.625,1662939165.1877868,458674156.1404202,0.27582136841946625,567
Elstow Wafer Works - Gumi,FAB,Korea,Logic die,9,5,0.5555555555555556,2096395579.6024542,333665519.6064193,0.15916152602730316,544
Yarrow Semiconductor - Taoyuan,FAB,Taiwan,Logic die,8,5,0.625,888431240.5502231,134038677.93933205,0.1508711893745646,528
Zephyr Microassembly - Gumi,OSAT,Korea,RF IC,4,4,1.0,238709633.35131282,238709633.35131282,1.0,247
Nevin Wafer Works - Hsinchu,FAB,Taiwan,Analog die,7,4,0.5714285714285714,868669154.0013287,758598427.5521923,0.8732880913957628,540
Solvex Semiconductor - Icheon,FAB,Korea,MEMS die,7,4,0.5714285714285714,1643955476.5983748,1237439387.1880953,0.7527207426253228,557
Cortex Assemblies - Pune,EMS,South Asia,PCB assembly,7,4,0.5714285714285714,4783634156.196969,2680752302.794316,0.5604007779987793,83
Mervi Foundry - Penang,FAB,Southeast Asia,Analog die,6,4,0.6666666666666666,841218869.4337641,394607809.2904625,0.46909053473334283,537
Verity Microelectronics - Chengdu,FAB,China,Memory die,8,4,0.5,1101536840.1549327,482562679.6237017,0.43808128973319543,502
Wend Wafer Works - Dalian,FAB,China,Memory die,9,4,0.4444444444444444,1363673130.2414415,391726674.73212,0.2872584830228076,531
Oxbow Wafer Works - Chandler,FAB,North America,Power die,8,4,0.5,2129916175.6645114,605110717.1403024,0.284100719105302,534
Yarrow Foundry - Hsinchu,FAB,Taiwan,Memory die,9,4,0.4444444444444444,1263936739.6441374,329871718.60073286,0.260987522756565,494
Dyne Microelectronics - Xi'an,FAB,China,Memory die,8,4,0.5,703779750.5090519,143204958.73242453,0.20347979411007883,535
Jorel Semiconductor - Pyeongtaek,FAB,Korea,Memory die,9,4,0.4444444444444444,1342219542.971074,261075348.03822157,0.19451016743528965,557
Halcy Foundry - Villach,FAB,Europe,Power die,8,4,0.5,1421480581.2083244,256124799.19130683,0.18018170812688056,556
Faryn Microelectronics - Malta,FAB,North America,RF die,7,4,0.5714285714285714,834413873.8666508,138368125.1498838,0.16582673117441077,560
Calder Microelectronics - Dalian,FAB,China,RF die,8,4,0.5,1100416302.3893952,177035292.31938255,0.16088028860984335,516
Isar Wafer Works - Hillsboro,FAB,North America,Memory die,9,4,0.4444444444444444,1488248630.7749646,145248847.0628989,0.09759716492214379,488
Gethin Industries - Ottawa,OEM,North America,Automotive ECU,3,3,1.0,652617343.9492644,652617343.9492644,1.0,80
Elstow Group - Cheongju,OEM,Korea,Automotive ECU,3,3,1.0,732029852.4975321,732029852.4975321,1.0,62
Jorel Devices - Shenzhen,OEM,China,Medical device,3,3,1.0,430648451.4775429,430648451.4775429,1.0,63
Ivex Industries - Guadalajara,OEM,North America,Smartphone,3,3,1.0,882569329.7632034,882569329.7632034,1.0,73
