tier_name,region_id,trade_bloc,suppliers,buyers_served,annual_value_usd,share_of_tier_value,rank_in_tier,sole_source_value_usd,sole_source_exposure,share_of_network_value
RAW_MATERIAL,China,East Asia,127,400,5319576879.541338,0.4521325389850133,1,213184964.49751028,0.04007554911320154,0.0015553432958502849
RAW_MATERIAL,Rest of World,Unaligned,89,216,1564191305.1668327,0.13294699978550542,2,53110273.91311391,0.03395382248813185,0.00045733984394042717
RAW_MATERIAL,South Asia,Unaligned,33,144,1141852211.6679316,0.09705067739364792,3,20489926.59992938,0.01794446460807677,0.00033385591043900184
RAW_MATERIAL,Japan,East Asia,18,106,743255705.242849,0.06317233432962825,4,33266566.06150657,0.04475790206095648,0.00021731385868261276
RAW_MATERIAL,Europe,Western,31,119,711950932.2760783,0.06051161397454696,5,53981710.67198848,0.07582223468604941,0.0002081609373385791
RAW_MATERIAL,North America,Western,42,116,684474955.7157364,0.05817631864474411,6,30625849.71100748,0.04474356505707777,0.00020012748338015974
RAW_MATERIAL,Korea,East Asia,15,93,614864657.8928533,0.05225985547354604,7,12557173.362887077,0.020422662453751406,0.00017977475373781685
RAW_MATERIAL,Taiwan,East Asia,13,86,550883626.478433,0.04682184661770337,8,27324538.900978483,0.049601290703905565,0.0001610679147306165
RAW_MATERIAL,Southeast Asia,East Asia,29,104,434475143.59392995,0.03692781479566457,9,45753462.56602601,0.10530743413203911,0.00012703228416555446
REFINED_MATERIAL,Japan,East Asia,85,572,58515463386.25356,0.3523731823417781,1,4145760634.5183754,0.0708489755460485,0.017108810670902353
REFINED_MATERIAL,Taiwan,East Asia,41,399,32294659787.05919,0.19447461206441424,2,3080718668.166092,0.0953940585991424,0.009442345458855205
REFINED_MATERIAL,Korea,East Asia,37,379,31493010169.808445,0.18964717312081233,3,3001318101.020378,0.09530108696620135,0.009207958328817262
REFINED_MATERIAL,China,East Asia,50,353,19874970643.496544,0.11968471664267011,4,1588030778.8546898,0.0799010377091713,0.005811064121372165
REFINED_MATERIAL,Europe,Western,26,168,9806539213.117672,0.059053816381423214,5,771728680.0724567,0.07869531373924019,0.0028672459043266227
REFINED_MATERIAL,Southeast Asia,East Asia,22,234,9079799843.549984,0.05467747806727115,6,626013147.9489992,0.06894569910521761,0.0026547611086589974
REFINED_MATERIAL,North America,Western,30,127,4222255643.9391437,0.02542592285554532,7,501082821.7076039,0.1186765709998838,0.001234507397462972
REFINED_MATERIAL,South Asia,Unaligned,3,7,403178913.6192932,0.002427895612948459,8,0.0,0.0,0.0001178818606302456
REFINED_MATERIAL,Rest of World,Unaligned,2,11,371180160.06580216,0.002235202913137032,9,60572461.89373553,0.163188845769659,0.00010852603253677533
EQUIPMENT,Japan,East Asia,33,212,47670205480.22934,0.31682070570569776,1,4491007323.606167,0.09420994263321897,0.013937863139196323
EQUIPMENT,North America,Western,37,156,35908706208.42532,0.23865266632110918,2,6477025010.183776,0.1803747807729163,0.010499024025525001
EQUIPMENT,China,East Asia,7,79,26117196831.008675,0.17357736656886283,3,14553294434.63139,0.5572303386461603,0.007636172559839772
EQUIPMENT,Europe,Western,30,119,18157191995.321842,0.12067441966402948,4,2789391239.995359,0.15362459353373797,0.00530881825394828
EQUIPMENT,Taiwan,East Asia,6,62,10567351021.002432,0.07023161688074414,5,1035896840.0152739,0.09802805243778184,0.0030896928341469744
EQUIPMENT,Korea,East Asia,6,65,10011808675.075077,0.06653942977324151,6,1235316645.6578674,0.1233859620922694,0.002927262798287891
EQUIPMENT,Southeast Asia,East Asia,2,37,2031839065.233093,0.013503795086315136,7,351271929.5268353,0.17288373648162794,0.0005940711714329953
FAB,Taiwan,East Asia,33,126,59451067330.058716,0.43888635100869067,1,4820911363.574774,0.08109040897130033,0.017382363503114433
FAB,Korea,East Asia,12,77,33485225212.754925,0.24719839300344654,2,4025319968.6189284,0.12021182306653967,0.009790444188332852
FAB,Japan,East Asia,9,46,14692033667.460976,0.10846118219224257,3,113989766.75210233,0.007758610504994958,0.0042956717394151776
FAB,China,East Asia,12,40,13179873366.006111,0.09729794246163853,4,412835509.6446142,0.03132317725520875,0.003853544773234071
FAB,North America,Western,9,23,7099920622.056864,0.05241383198330567,5,1234104037.8979871,0.17381941342612706,0.0020758820091603706
FAB,Europe,Western,3,16,6946175217.473365,0.05127883537799005,6,0.0,0.0,0.002030929771472746
FAB,Southeast Asia,East Asia,1,3,604615970.7531904,0.00446346397268597,7,133037901.8991921,0.2200370290144045,0.00017677823217324533
OSAT,China,East Asia,40,463,742129980604.0753,0.4415319570951023,1,74977190743.20064,0.10102972889219632,0.21698471816833168
OSAT,Taiwan,East Asia,57,417,380576373421.2269,0.2264247980442094,2,24850782763.34139,0.0652977549287754,0.11127330694969798
OSAT,Southeast Asia,East Asia,33,392,371068066488.3836,0.2207678087317685,3,30863443311.911564,0.08317461430725878,0.10849325850265687
OSAT,North America,Western,8,147,107323241683.30768,0.0638522121201059,4,4473451923.193105,0.041682042519676096,0.03137927850672306
OSAT,Japan,East Asia,7,130,49566881638.119965,0.029489931452393633,5,8053627390.774543,0.1624800093250331,0.01449241524237574
