node_id,name,tier,region,category,failed_firms,failed_oems,production_value_at_risk,share_of_oem_value,deepest_cascade,rank_impact,rank_customers,rank_betweenness,rank_pagerank,betweenness,pagerank,customers,best_centrality_rank,rank_gap
EMS_0453,Kestrel Electronics - Batangas,EMS,Southeast Asia,Power module,26,26,43626955663.28365,0.03420010804900141,1,1,25.0,32.0,81.0,0.0019395569969347982,0.0011622488814459898,70.0,25.0,24.0
EMS_0316,Jarn Manufacturing - Xi'an,EMS,China,Sensor module,28,28,40275069602.96116,0.03157249253725834,1,2,16.0,14.0,28.0,0.004777059522569535,0.0021518673694071178,135.0,14.0,12.0
OSAT_0039,Ember Assembly - Xi'an,OSAT,China,Analog IC,38,27,35970436128.12747,0.028197997853583692,2,3,19.0,18.0,32.0,0.003558255079397842,0.0019879079461599452,86.0,18.0,15.0
REFINED_MATERIAL_0326,Thorne Chemical - Nagano 2,REFINED_MATERIAL,Japan,Packaging substrate,25,17,30595920167.06472,0.02398479929812909,3,4,348.0,284.0,389.0,0.0004434586394477938,0.00046102650567539973,8.0,284.0,280.0
RAW_MATERIAL_0228,Noral Extraction - Dalian,RAW_MATERIAL,China,Substrate resin,42,18,24914865489.535973,0.019531298455591862,3,5,101.0,1111.0,34.0,0.0,0.0019278182031938948,20.0,34.0,29.0
REFINED_MATERIAL_0077,Granth Specialty - Bangkok,REFINED_MATERIAL,Southeast Asia,Bonding wire,19,14,23374487601.381557,0.018323763127714058,3,6,175.0,358.0,415.0,0.00033724525480905516,0.0004410346368065344,14.0,175.0,169.0
OSAT_0116,Quarn Assembly - Penang,OSAT,Southeast Asia,Power IC,16,14,23374487601.381557,0.018323763127714058,2,6,193.0,54.0,226.0,0.0014081465204146145,0.0006409982987717794,13.0,54.0,48.0
EMS_0360,Ader Assemblies - Penang,EMS,Southeast Asia,Power module,14,14,23374487601.381557,0.018323763127714058,1,6,30.0,63.0,85.0,0.0012944768139348964,0.0011354158483879633,55.0,30.0,24.0
RAW_MATERIAL_0494,Quill Feedstock - Tianjin,RAW_MATERIAL,China,Gold,25,15,18072951512.328262,0.014167775062200337,4,9,157.0,1111.0,69.0,0.0,0.0013281643972708574,15.0,69.0,60.0
OSAT_0002,Yarrow Packaging - Taichung,OSAT,Taiwan,Power IC,23,15,18072951512.328262,0.014167775062200337,2,9,39.0,21.0,60.0,0.0032557523719078107,0.0014611355096228484,49.0,21.0,12.0
REFINED_MATERIAL_0166,Isar Materials - Icheon,REFINED_MATERIAL,Korea,Bonding wire,24,15,18072951512.328262,0.014167775062200337,3,9,549.0,981.0,494.0,2.5168327940026263e-05,0.00038250475541485186,5.0,494.0,485.0
REFINED_MATERIAL_0255,Cortex Materials - Leixlip,REFINED_MATERIAL,Europe,Packaging substrate,29,17,17253605393.53459,0.013525472032657148,3,12,774.0,475.0,845.0,0.00023894837054545888,0.0002532490537615503,3.0,475.0,463.0
OSAT_0040,Doran Assembly - Batam,OSAT,Southeast Asia,Memory IC,28,17,17253605393.53459,0.013525472032657148,2,12,46.0,35.0,118.0,0.0018359065590644258,0.0009308063544180923,43.0,35.0,23.0
REFINED_MATERIAL_0294,Korrin Chemical - Hiroshima,REFINED_MATERIAL,Japan,Bonding wire,17,13,16845114631.532717,0.013205247346219985,3,14,304.0,698.0,517.0,0.00011645608104087754,0.00036615033086561023,9.0,304.0,290.0
REFINED_MATERIAL_0309,Halcy Specialty - Sendai,REFINED_MATERIAL,Japan,Packaging substrate,17,13,16845114631.532717,0.013205247346219985,3,14,638.0,811.0,972.0,7.373545154077467e-05,0.0002256874270854806,4.0,638.0,624.0
EMS_0511,Wexler Electronics - Taoyuan,EMS,Taiwan,Power module,13,13,16845114631.532717,0.013205247346219985,1,14,40.0,51.0,87.0,0.0014583735308262773,0.0011192809837490309,48.0,40.0,26.0
OSAT_0017,Prendel Packaging - Chengdu,OSAT,China,Analog IC,16,13,16845114631.532717,0.013205247346219985,2,14,52.0,52.0,92.0,0.0014232804749609524,0.0010940756758950072,38.0,52.0,38.0
EQUIPMENT_0068,Holt Precision - Austin,EQUIPMENT,North America,Test handler,54,22,16742388769.802158,0.013124718335721814,3,18,549.0,317.0,76.0,0.0003878141627527589,0.0012294025011693657,5.0,76.0,58.0
OSAT_0089,Prendel Assembly - Shenzhen,OSAT,China,Logic IC,52,22,16742388769.802158,0.013124718335721814,2,18,15.0,24.0,22.0,0.0025708953209378185,0.0024243889306313215,136.0,15.0,-3.0
RAW_MATERIAL_0255,Elstow Minerals - Shenzhen,RAW_MATERIAL,China,Bulk chemical,121,20,15356341365.281252,0.012038165990389425,5,20,304.0,1111.0,111.0,0.0,0.0009730763828267403,9.0,111.0,91.0
