category_id,tier_id,median_unit_cost_usd,median_annual_volume,single_source_probability
Silicon feedstock,0,22.0,90000.0,0.25
Rare earth elements,0,85.0,12000.0,0.35
Copper,0,9.0,260000.0,0.08
Gold,0,240.0,3500.0,0.1
Crude industrial gas,0,6.0,400000.0,0.15
Bulk chemical,0,11.0,320000.0,0.1
Substrate resin,0,14.0,180000.0,0.12
Silicon wafer,1,95.0,240000.0,0.3
Photoresist,1,320.0,26000.0,0.38
Process gas,1,40.0,150000.0,0.22
CMP slurry,1,180.0,34000.0,0.32
Packaging substrate,1,6.0,4200000.0,0.28
Bonding wire,1,12.0,1800000.0,0.2
PCB laminate,1,15.0,2600000.0,0.14
Lithography system,2,62000000.0,3.0,0.62
Etch system,2,4500000.0,14.0,0.25
Deposition system,2,5200000.0,12.0,0.25
Metrology system,2,3100000.0,18.0,0.3
Ion implantation system,2,4000000.0,9.0,0.35
Test handler,2,850000.0,40.0,0.22
Logic die,3,42.0,5800000.0,0.2
Memory die,3,18.0,12000000.0,0.2
Analog die,3,6.0,22000000.0,0.2
Power die,3,9.0,15000000.0,0.2
RF die,3,14.0,9000000.0,0.2
MEMS die,3,7.0,7000000.0,0.2
Logic IC,4,58.0,5200000.0,0.2
Memory IC,4,24.0,10500000.0,0.2
Analog IC,4,9.0,19000000.0,0.2
Power IC,4,13.0,13000000.0,0.2
RF IC,4,19.0,8000000.0,0.2
MEMS sensor,4,11.0,6200000.0,0.2
PCB assembly,5,140.0,1400000.0,0.2
Power module,5,65.0,900000.0,0.2
Sensor module,5,38.0,750000.0,0.2
Smartphone,6,420.0,2200000.0,0.2
Automotive ECU,6,310.0,1100000.0,0.2
Server,6,4200.0,85000.0,0.2
Laptop,6,650.0,900000.0,0.2
Medical device,6,2800.0,45000.0,0.2
Industrial controller,6,900.0,300000.0,0.2
Network equipment,6,1600.0,160000.0,0.2
Freight,99,1.0,,0.2
