node_id,customer_count,supplier_count,betweenness,pagerank,rank_betweenness,rank_pagerank,rank_customers,best_centrality_rank,failed_firms,failed_oems,production_value_at_risk,share_of_oem_value,deepest_cascade,rank_impact,blockade_value_at_risk,blockade_share_of_oem_value,rank_gap,node_name,tier_name,tier_label,flow_order,region_id,trade_bloc,category_id,is_logistics_hub,node_kind,breaks_something
RAW_MATERIAL_0000,1.0,0.0,0.0,0.0002560311379734,1111.0,830.0,1211.0,830.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,504.0,Korrin Minerals - Batam,RAW_MATERIAL,Raw Material,0,Southeast Asia,East Asia,Crude industrial gas,0,Firm,Replaceable
RAW_MATERIAL_0001,0.0,0.0,0.0,0.0001122065525757,1111.0,1533.0,1533.0,1111.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,785.0,Granth Extraction - Pune,RAW_MATERIAL,Raw Material,0,South Asia,Unaligned,Crude industrial gas,0,Firm,Replaceable
RAW_MATERIAL_0002,2.0,0.0,0.0,0.0004688878043152,1111.0,377.0,975.0,377.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,51.0,Yarrow Feedstock - Tianjin,RAW_MATERIAL,Raw Material,0,China,East Asia,Rare earth elements,0,Firm,Replaceable
RAW_MATERIAL_0003,1.0,0.0,0.0,0.0001213964566079,1111.0,1506.0,1211.0,1111.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,785.0,Trellis Resources - Johannesburg,RAW_MATERIAL,Raw Material,0,Rest of World,Unaligned,Substrate resin,0,Firm,Replaceable
RAW_MATERIAL_0004,10.0,0.0,0.0,0.0008534025424169,1111.0,135.0,267.0,135.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,-191.0,Belan Resources - Leixlip,RAW_MATERIAL,Raw Material,0,Europe,Western,Substrate resin,0,Firm,Replaceable
RAW_MATERIAL_0005,1.0,0.0,0.0,0.0002026890307675,1111.0,1080.0,1211.0,1080.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,754.0,Korrin Resources - Guadalajara,RAW_MATERIAL,Raw Material,0,North America,Western,Silicon feedstock,0,Firm,Replaceable
RAW_MATERIAL_0006,0.0,0.0,0.0,0.0001122065525757,1111.0,1533.0,1533.0,1111.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,785.0,Quarn Minerals - Perth,RAW_MATERIAL,Raw Material,0,Rest of World,Unaligned,Copper,0,Firm,Replaceable
RAW_MATERIAL_0007,1.0,0.0,0.0,0.0002084665771752,1111.0,1049.0,1211.0,1049.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,723.0,Doran Resources - Perth,RAW_MATERIAL,Raw Material,0,Rest of World,Unaligned,Silicon feedstock,0,Firm,Replaceable
RAW_MATERIAL_0008,0.0,0.0,0.0,0.0001122065525757,1111.0,1533.0,1533.0,1111.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,785.0,Noral Minerals - Malta,RAW_MATERIAL,Raw Material,0,North America,Western,Bulk chemical,0,Firm,Replaceable
RAW_MATERIAL_0009,3.0,0.0,0.0,0.0002203876478593,1111.0,1000.0,774.0,774.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,448.0,Mervi Minerals - Batangas,RAW_MATERIAL,Raw Material,0,Southeast Asia,East Asia,Substrate resin,0,Firm,Replaceable
RAW_MATERIAL_0010,3.0,0.0,0.0,0.0004453994798123,1111.0,408.0,774.0,408.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,82.0,Ulvid Feedstock - Belo Horizonte,RAW_MATERIAL,Raw Material,0,Rest of World,Unaligned,Copper,0,Firm,Replaceable
RAW_MATERIAL_0011,0.0,0.0,0.0,0.0001122065525757,1111.0,1533.0,1533.0,1111.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,785.0,Oxbow Minerals - Bengaluru,RAW_MATERIAL,Raw Material,0,South Asia,Unaligned,Silicon feedstock,0,Firm,Replaceable
RAW_MATERIAL_0012,1.0,0.0,0.0,0.0002224173053781,1111.0,992.0,1211.0,992.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,666.0,Dyne Resources - Guadalajara,RAW_MATERIAL,Raw Material,0,North America,Western,Substrate resin,0,Firm,Replaceable
RAW_MATERIAL_0013,4.0,0.0,0.0,0.0004718141108522,1111.0,373.0,638.0,373.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,47.0,Stade Extraction - Batangas,RAW_MATERIAL,Raw Material,0,Southeast Asia,East Asia,Copper,0,Firm,Replaceable
RAW_MATERIAL_0014,0.0,0.0,0.0,0.0001122065525757,1111.0,1533.0,1533.0,1111.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,785.0,Alder Feedstock - Xi'an,RAW_MATERIAL,Raw Material,0,China,East Asia,Substrate resin,0,Firm,Replaceable
