relationship_id,supplier_node_id,buyer_node_id,category_id,via_hub_node_id,lead_time_days,annual_volume_units,unit_cost_usd,annual_value_usd,qualified_alternatives,is_single_source,sourcing_type,is_routed_freight
0,RAW_MATERIAL_0293,REFINED_MATERIAL_0000,Silicon feedstock,HUB_015,85,124360,26.961180630502525,3352892.423209294,1,0,Multi-sourced,Crosses a hub
1,RAW_MATERIAL_0246,REFINED_MATERIAL_0000,Silicon feedstock,HUB_027,68,36304,22.037677329851437,800055.8377829266,1,0,Multi-sourced,Crosses a hub
2,RAW_MATERIAL_0270,REFINED_MATERIAL_0001,Bulk chemical,HUB_000,97,135064,8.00950411494457,1081795.6637808732,3,0,Multi-sourced,Crosses a hub
3,RAW_MATERIAL_0403,REFINED_MATERIAL_0001,Bulk chemical,HUB_019,35,423169,13.491388527124109,5709137.391634582,3,0,Multi-sourced,Crosses a hub
4,RAW_MATERIAL_0455,REFINED_MATERIAL_0001,Bulk chemical,HUB_023,75,526891,16.76068462468934,8831053.88258719,3,0,Multi-sourced,Crosses a hub
5,RAW_MATERIAL_0364,REFINED_MATERIAL_0001,Bulk chemical,HUB_011,42,686841,13.200604857358032,9066716.640832648,3,0,Multi-sourced,Crosses a hub
6,RAW_MATERIAL_0334,REFINED_MATERIAL_0002,Substrate resin,,37,1117771,15.870683064405544,17739789.279583648,2,0,Multi-sourced,Direct
7,RAW_MATERIAL_0243,REFINED_MATERIAL_0002,Substrate resin,,59,596559,13.895658320891876,8289580.032252937,2,0,Multi-sourced,Direct
8,RAW_MATERIAL_0210,REFINED_MATERIAL_0002,Substrate resin,HUB_019,51,884586,13.980170029756927,12366662.68594256,2,0,Multi-sourced,Crosses a hub
9,RAW_MATERIAL_0127,REFINED_MATERIAL_0002,Copper,,42,131752,7.051420673881545,929038.7766252413,2,0,Multi-sourced,Direct
10,RAW_MATERIAL_0307,REFINED_MATERIAL_0002,Copper,,45,465736,10.168479593564896,4735827.01198854,2,0,Multi-sourced,Direct
11,RAW_MATERIAL_0179,REFINED_MATERIAL_0002,Copper,HUB_026,77,795631,7.292035136267866,5801769.207503938,2,0,Multi-sourced,Crosses a hub
12,RAW_MATERIAL_0235,REFINED_MATERIAL_0003,Gold,HUB_006,69,14455,154.02467339014316,2226426.6538545196,4,0,Multi-sourced,Crosses a hub
13,RAW_MATERIAL_0494,REFINED_MATERIAL_0003,Gold,HUB_034,63,12494,318.5065693529718,3979421.0774960294,4,0,Multi-sourced,Crosses a hub
14,RAW_MATERIAL_0086,REFINED_MATERIAL_0003,Gold,HUB_012,40,3638,291.0173339814903,1058721.0610246616,4,0,Multi-sourced,Crosses a hub
15,RAW_MATERIAL_0130,REFINED_MATERIAL_0003,Gold,HUB_019,61,10070,329.42233253584436,3317282.8886359525,4,0,Multi-sourced,Crosses a hub
